지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%)
108,서울,2021-10-01 1:00,18.7,,1,85
108,서울,2021-10-01 2:00,18.3,,0.3,89
108,서울,2021-10-01 3:00,17.7,,2,92
108,서울,2021-10-01 4:00,17.4,,1,91
108,서울,2021-10-01 5:00,17.2,,1.3,94
108,서울,2021-10-01 6:00,17,,1.9,94
108,서울,2021-10-01 7:00,17,,0.8,95
108,서울,2021-10-01 8:00,17.5,,3.8,93
108,서울,2021-10-01 9:00,19.8,,2.6,86
108,서울,2021-10-01 10:00,21.4,,3,76
108,서울,2021-10-01 11:00,23,,2.2,70
108,서울,2021-10-01 12:00,24.6,,1.1,65
108,서울,2021-10-01 13:00,26,,1.1,56
108,서울,2021-10-01 14:00,27.2,,2.1,50
108,서울,2021-10-01 15:00,27.2,,3.3,45
108,서울,2021-10-01 16:00,26.9,,2.7,47
108,서울,2021-10-01 17:00,25.7,,2.8,56
108,서울,2021-10-01 18:00,23.9,,3.2,59
108,서울,2021-10-01 19:00,22.5,,2.9,66
108,서울,2021-10-01 20:00,21.8,,2.4,72
108,서울,2021-10-01 21:00,21.5,,3.4,75
108,서울,2021-10-01 22:00,21.4,0,4,79
108,서울,2021-10-01 23:00,17.2,12.7,3.7,88
108,서울,2021-10-02 0:00,17,0.6,2.9,90
108,서울,2021-10-02 1:00,16.6,,1.8,90
108,서울,2021-10-02 2:00,16.8,,0.9,91
108,서울,2021-10-02 3:00,16.6,,0.9,93
108,서울,2021-10-02 4:00,16.7,,1.3,93
108,서울,2021-10-02 5:00,16.5,,1.2,95
108,서울,2021-10-02 6:00,16.6,,1.3,94
108,서울,2021-10-02 7:00,16.9,,0.9,94
108,서울,2021-10-02 8:00,17.5,,1.9,95
108,서울,2021-10-02 9:00,18.8,,1.9,91
108,서울,2021-10-02 10:00,20.9,,0.9,81
108,서울,2021-10-02 11:00,21.7,,0.7,77
108,서울,2021-10-02 12:00,23.5,,1.8,64
108,서울,2021-10-02 13:00,24.2,,2.3,61
108,서울,2021-10-02 14:00,25.7,,2.4,55
108,서울,2021-10-02 15:00,26.2,,2.2,54
108,서울,2021-10-02 16:00,26.1,,3,53
108,서울,2021-10-02 17:00,25.2,,3.1,55
108,서울,2021-10-02 18:00,23.7,,2.2,58
108,서울,2021-10-02 19:00,22.5,,0.7,64
108,서울,2021-10-02 20:00,21.1,,1.6,72
108,서울,2021-10-02 21:00,20.8,,0.3,77
108,서울,2021-10-02 22:00,20.3,,0.7,79
108,서울,2021-10-02 23:00,19.9,,0.7,84
108,서울,2021-10-03 0:00,19.5,,0.7,86
108,서울,2021-10-03 1:00,19.1,,0,89
108,서울,2021-10-03 2:00,18.7,,1,91
